code,label,subcategory,feedback,space
aa,Access,General,"I am begging for help with my child’s behaviours, and nobody is helping me. I don’t know where to go or who to contact.",23
cs,Care received,Advice and support,"When you leave... jeez! Like you leave and they say oh we’ve made sure you have this, this and this support. But as soon as you walk out those doors. You have nobody! And then they blame it on you.",39
xn,Couldn't be improved,Nothing to improve,No.,0
mm,Communication,Communication,Communication.,0
ef,Environment/ facilities,Food,Food is not up to standard. Stodgy and full of carbs.,10
xn,Couldn't be improved,Nothing to improve,I don’t know.,2
ef,Environment/ facilities,Food,Food.,0
xn,Couldn't be improved,Nothing to improve,Can’t think of anything.,3
cc,Care received,Care received,"Group was probably a bit to small, only 3 on last day.",11
aa,Access,General,Just how to enter new people into the group.,8
xn,Couldn't be improved,Nothing to improve,I don’t think so.,3
xn,Couldn't be improved,Nothing to improve,Given the circumstances not much.,4
dc,Dignity,Involvement: Of Family And Carers,"Communication from doctors and ward manager would be appreciated, as we don’t feel we’ve had a full circle of contact only from HCAs and nurses when we ring in. We would like to know decisions in regards to medication changes and discharge updates. It helps us to feel in control in regards to social service communications as we’ve found that to be quite a battle.",64
xn,Couldn't be improved,Nothing to improve,Nothing they are amazing.,3
ct,Care received,Therapies,More therapy choices.,2
mm,Communication,Communication,"Sometimes the video conferences did not work, but I was happy to take the sessions by phone.",16
cr,Care received,Rules/approach to care,Back to face to face when possible.,6
sp,Staff,Professionalism/Competence Of Staff,"Female healthcare are rude and unsupportive. One in particular is unprofessional, and made me want to self-harm.",16
cr,Care received,Rules/approach to care,"Ideally a face to face consultation, however at these very difficult times that was impossible.",14
mm,Communication,Communication,"We have struggled getting through on the mobile in the evening. We often try all the way from 6.30 to 7.30, the landline isn’t always any better.",26
xn,Couldn't be improved,Nothing to improve,Nothing better for me. ,4
ef,Environment/ facilities,Food,food could be better. Physio could be better would like to know first thing in the morning if getting physio would have like it one time a day not three time week. Would have like physio everyday would more decisions input in care.,42
ca,Care received,Activities,Obviously with Covid couldn't do as many activities but good with what we could,13
xn,Couldn't be improved,Nothing to improve,Nothing,0
ca,Care received,Activities,Music. Practical mindfulness. Psychologist,3
ct,Care received,Therapies,More music mediation,2
ap,Access,Provision of services,"Sometimes a request for another phone consultation was forgotten so I had to book one thru reception, which was no problem but intermittently occurred",23
xn,Couldn't be improved,Nothing to improve,Don't know,1
wb,Access,Time spent waiting between appointments,I would have liked to progress to Step 4 psychology quicker. At the moment I will have to wait 18 months before my treatment with them starts,26
ec,Environment/ facilities,Cleanliness,More tidying up of <?>,4
xn,Couldn't be improved,Nothing to improve,Everything is fine. ,3
sp,Staff,Professionalism/Competence Of Staff,Female staff do not be using their mobiles whilst sat on the ward.  They pay more attention to that that us.,21
sp,Staff,Professionalism/Competence Of Staff,"Male members of staff have takeaways daily, this isn't fair as I cannot afford takeaways, they can be very selfish.",19
sp,Staff,Professionalism/Competence Of Staff,"Male members of staff are sometimes explicit in nature, this triggers my PTSD and want to leave. B2`should only have female staff. Staff recruitment spoils what B2 does well.",28
tc,Transition/coordination,Consistency/Continuity of care,Continuity of clinician would be ideal in a therapeutic based treatment.,10
co,Care received,1-2-1 care/Time spent with service user,"Take time out to talk to patients & activities.  
Cleaner ward - dirty. 
Would like to have been able to use escorted leave more. ",25
co,Care received,1-2-1 care/Time spent with service user,"Staff could spend more time with patients, out of the office. 
Have someone who works here who has the same illness and understands. ",23
sp,Staff,Professionalism/Competence Of Staff,"I'm already in the process of making an official complaint. 
Staff were rude, not friendly nor were they approachable.  They didn't give out medication when they should as they didn't have it for 2 doses. They didn't listen & showed no respect at all.",44
cc,Care received,Care received,"Some patients were allowed phone charger and others not. 
Gluten free menu could be improved. 
Some bank staff very quite. ",20
ee,Environment/ facilities,Environment/ facilities,Microwave. ,1
wb,Access,Time spent waiting between appointments,"Waiting times were sometimes excessive, but I appreciate under the current climate and pandemic they/things may take longer than usual.",19
cc,Care received,Care received,To take to and from places and be of some support with going to places. ,15
cc,Care received,Care received,Give lifts to and from places and could take you out and about for support. ,15
cr,Care received,Rules/approach to care,Whilst great support & couldn't have got through this without Claire/Rebecca/Megan(?) - there are still some underlying anxiety issues & I don't feel we have properly addressed these. It would have been good to have come up with an action plan for next steps / recommendations re: how could address these,50
tx,Transition/coordination,Transition And Discharge,Discharger quicker. ,2
ee,Environment/ facilities,Environment/ facilities,More quite and less lights. ,5
sa,Staff,Attitude Of Staff,"Some of you are great, helpful, kind & nice but a few take sides with others & block you out and call you and just show that they don't like you.  Everyone should be treated the same.",37
ee,Environment/ facilities,Environment/ facilities,"Less noise with doors banging. 
Not too bright lights when being woken up in a morning. 
More activities needed for full week.",21
ef,Environment/ facilities,Food,Its hard with food as everyone is different. ,8
xn,Couldn't be improved,Nothing to improve,I don't think you could do anything better. ,8
xn,Couldn't be improved,Nothing to improve,I am completely satisfied.  ,5
xn,Couldn't be improved,Nothing to improve,There is nothing better Chris can do. ,7
sa,Staff,Attitude Of Staff,Very rude psychologist doctor,3
xn,Couldn't be improved,Nothing to improve,zero,0
xn,Couldn't be improved,Nothing to improve,Difficult to think of anything!,4
cc,Care received,Care received,More in tune to patients needs. ,6
xn,Couldn't be improved,Nothing to improve,Very little. ,2
xn,Couldn't be improved,Nothing to improve,Nothing,0
cm,Care received,Medication ,Giving me my <?> machine and my Precalin<?>. Pity the Dr's attitude towards patients is not as that of the nurses,20
xn,Couldn't be improved,Nothing to improve,"Not sure, nothing I could think of",6
xn,Couldn't be improved,Nothing to improve,All of it,2
ss,Staff,Staff: General,Get the psychiatrist from Nottingham,4
sa,Staff,Attitude Of Staff,"Psychiatrist doesn't care about helping me get through this time in my life, doesn't understand me and communication is poor",19
ap,Access,Provision of services,See me more,2
mi,Communication,Amount/clarity of information,"Communicate properly on how long the waiting list is to start MBT.
Regular 1-2-1's when waiting for MBT, note very 3 months.
Manage volatile situations in group session better. 
Get more of a gender balance in group sessions.",35
cc,Care received,Care received,Help me more quickly when I ask. Let me stay here instead of moving to another place.,16
xn,Couldn't be improved,Nothing to improve,No Better,1
xn,Couldn't be improved,Nothing to improve,Couldn't do better. ,3
xn,Couldn't be improved,Nothing to improve,Can't think of anything. ,4
sp,Staff,Professionalism/Competence Of Staff,"Sack staff who do not work while on duty. 
Disciplinary action, verbal warning of staff nurse XXXX & removal of HCW XXX",21
cp,Care received,Physical care,Cut sweets etc down as ny son is now going down the road of being obese. It's another worry,18
xn,Couldn't be improved,Nothing to improve,Just continue what you're doing!!,4
ap,Access,Provision of services,More time,1
sp,Staff,Professionalism/Competence Of Staff,"Staff not bothered about patients, more concerned on ipads etc.  
Disturbed constantly during the night. 
High risk of bacteria into air con unit & room taps mixing hot with cold.  
Fire door propped open with chair. 
Masks not effective & not worn correctly.
No social distancing. ",47
ef,Environment/ facilities,Food,Make all emergency call buttons operation.,5
aa,Access,General,Weekly or 2 weekly meetings. ,5
wa,Access,Time spent waiting for first appt/referral/service,"Shorter waiting times for treatment, took nearly 4 weeks to get this letter.  
Coronavirus guidance could have been clearer. 
Not much parking available a the relevant area.",27
cr,Care received,Rules/approach to care,"Prem & Neonate babies that are in I.C.U who need IV access could have stents placed with ultra-sound so that med's can be administrated as soon as possible, because I see the problem trying to inject ???? veins with emergency meds. ",41
xn,Couldn't be improved,Nothing to improve,"Nothing, I'm happy with my service than you very much. ",10
cm,Care received,Medication ,"Sadly there is a strong reliance on medication and some medication can interfere quite strongly with your daily life i.e. due to the side effects like blurred vision. 
Also, bare in mind that sometimes home/CPN visits can be quite inconvenient when you have young children.  Please keep that in mind and keep them to a minimum without a necessity. ",60
mm,Communication,Communication,"I could be seen more often. 
Answer the phone more often. ",11
cr,Care received,Rules/approach to care,I know it is because of corona virus but it is horrible having to wait outside of the building until you are called in.  I know it is only a few minutes but this morning I was really cold. ,40
ap,Access,Provision of services,Time for appointment and seeing people <?unreadable 2 words>,8
ss,Staff,Staff: General,Every other nurse needs to be like Charlotte. ,8
xn,Couldn't be improved,Nothing to improve,Do not think there is anything else you could have done in very difficult circumstances. ,15
aa,Access,General,Due to COVID we have had very little contact with the ward. ,12
mm,Communication,Communication,Language barrier & bad communication. ,5
cc,Care received,Care received,"Tighten security, as 3 1/2 years ago I got assaulted on the assessment ward.",13
sa,Staff,Attitude Of Staff,Staff to be more engaged with service users. ,8
mm,Communication,Communication,Not talk about patients past with other staff and our history and not to breach our confidentiality by passing on information to other third parties. ,25
cc,Care received,Care received,"More activities eg. quizzes.
Educational courses eg. cooking. 
More staff interaction with patients. 
Medication.
Change consultants, doesn't listen. ",16
ec,Environment/ facilities,Cleanliness,Hygiene awareness for the staff. ,5
xn,Couldn't be improved,Nothing to improve,Everything is good.,2
xe,Miscellaneous,Everything was good/bad,Most things. ,2
xl,Miscellaneous,Leave (under MHA),"Offer more group community leave, like days outs. ",8
ca,Care received,Activities,More to do.,2
ml,Communication,Listening,"Treat, listen care for, act. ",5
sa,Staff,Attitude Of Staff,"Bound by rules being in a medium secure, flouting the rules as a patients, as a patient observing lower tier staff doing the same sometime doing as they please, is a little annoying. ",33
cc,Care received,Care received,Healthcare (co-codamol).,1
cc,Care received,Care received,Concentrate more on the needs of the patients and listen more. ,11
ee,Environment/ facilities,Environment/ facilities,More access to internet. ,4
mi,Communication,Amount/clarity of information,Explaining better so I can understand. ,6
ca,Care received,Activities,More internet time. ,3
ap,Access,Provision of services,"Not many appts, wanted more time",5
xn,Couldn't be improved,Nothing to improve,Don't know,1
ap,Access,Provision of services,More time & appts,3
wa,Access,Time spent waiting for first appt/referral/service,Timescales - sometimes takes awhile to get seen - more so for general health,13
xn,Couldn't be improved,Nothing to improve,I don't know. ,3
tx,Transition/coordination,Transition And Discharge,Release. ,1
mi,Communication,Amount/clarity of information,"Communication regarding appointments.  I rang to confirm an appointment time, Thurs AM and was told it was Fri PM.  When no one turned up Fri I rang again and was told it was actually Thurs PM and that I had missed it.  This made my anxiety increase. ",50
mi,Communication,Amount/clarity of information,Being told about the ward rules from the start. ,9
mi,Communication,Amount/clarity of information,Over time everything have been good but sometimes I feel that information about issues such and COVID-19 take a little while to get to the patients. ,26
ti,Transition/coordination,Coordination/Integration Of Care,Improve connection to community and community services. ,7
xn,Couldn't be improved,Nothing to improve,All was good. ,3
eq,Environment/ facilities,Facilities/equipment,Your building could do with redecorating and new carpets!,8
mm,Communication,Communication,A little bit more communication,4
sp,Staff,Professionalism/Competence Of Staff,I still feel I was treated appallingly by a different team member at my first appointment which (comments finish here),19
xn,Couldn't be improved,Nothing to improve,None. ,1
ef,Environment/ facilities,Food,The food needs improving drastically. ,5
ap,Access,Provision of services,"More education session per week, to reduce staying time. ",9
cc,Care received,Care received,Not lock people up who are not ill. ,8
xn,Couldn't be improved,Nothing to improve,Not much. ,2
cc,Care received,Care received,"I'm not being treated fairly and being ...(cannot make out the rest of the comments)
The other girls get leave early ....(cannot make out the rest of the comments)",27
xn,Couldn't be improved,Nothing to improve,Cannot think of anything being better.  Would definitely recommend. ,10
sa,Staff,Attitude Of Staff,"Do not judge people (like myself) for how they look (looks can be deceiving, like the says `Do not judge a book by its cover !!!) but judge them by how they feel (especially me). As a Christian lady and my faith keeps me going and the person I am, honest, gentle, caring and loving, but I am very slow for my age.",62
xn,Couldn't be improved,Nothing to improve,No improvements needed.,2
xn,Couldn't be improved,Nothing to improve,Nothing it was very good.,4
xn,Couldn't be improved,Nothing to improve,Nothing for me.,2
mm,Communication,Communication,Email exercises to patient.,3
sa,Staff,Attitude Of Staff,"A few members of staff could do with more training on compassion, bedside manners and a bit more knowledge on how to handle different types of scenarios.",26
ti,Transition/coordination,Coordination/Integration Of Care,"Make LMHTs more aware of the existence of the Specialist Depression Service. It took me 6-7 months to get the Manor Road team to refer me into the service, despite the SDS being ready to take me on as soon as they'd received the referral, because the psychiatrists I saw during that time had never heard of it and couldn't be bothered to find out more.",65
ap,Access,Provision of services,No treatment was offered. My 17 year old son was told that as he was turning 18 soon there was no point in offering him any treatment after a suicide attempt. He would have to wait until he was 18 and then get in touch with the adult service. This led to an 8 week wait with no help whatsoever. Appalling!,60
cm,Care received,Medication ,"Stronger tablets to help work. I feel the tablets I have in a morning don’t act quick enough, very slow. It’s lunch time before I benefit.",25
eq,Environment/ facilities,Facilities/equipment,Wifi.,0
xn,Couldn't be improved,Nothing to improve,"Absolutely nothing, please make sure they get the praise that they deserve.",11
cc,Care received,Care received,It's tough cos of covid atm - just keep caring.,9
xn,Couldn't be improved,Nothing to improve,They are amazing.,2
xf,Miscellaneous,Funding,With more funding - more 1:1.,5
xn,Couldn't be improved,Nothing to improve,Nothing service was really good.,4
cp,Care received,Physical care,"My husband was left to fall out of his bed and fracture his hip and pelvis. They have 15 of his named belongings including 2 pairs of new spectacles, 3 front teeth on a plate, hearing aids and even his suitcase he had to use to take them in. Disgusting care.",50
mm,Communication,Communication,I think facetime appts would be better than just the phone. Sometimes hard to visualise exercise advice.,16
cc,Care received,Care received,"They need to have doctors visiting patients more than once a week. Give patient what they need and not have to wait for hours.  My husband is not  allowed to get outside for any fresh air. Even with an escort. At least a person in prison would be able to get outside in a yard for exercise. He was told he had to do a fasting blood test, then the following morning nurses escorted him down to breakfast, although my husband told the nurse that he couldn’t, the nurse still made him go down for it. After breakfast they came to do his fasting blood test but could not do it due to eating. My husband is petrified of needles so worried all night for nothing, he has now got to wait until after the weekend for this to be done again so more stress and worry for him. Took his laundry to be washed but machine broke down with his laundry in it!!. This has been in the machine for days now so he has no clean clothes and walking around with no socks on. I live 17 miles away, I have spoken to nurses who have said several times they would make sure he gets them sorted out today; 3 days later still waiting. Anything he asks for like electric razor, that he has there, he asks several times he will eventually get it. When I have to phone the ward how bad is this they are supposed to be working to support his mental health?? They made him sign paper work he did not understand. My husband had been telling everyone he does not like to be called by his full first name, then immediately call him by that when they have been told by myself as well on many occasions. Staff do not listen to what patients or families have to say!! Well I could add lots more about the treatment and respect that patients should get there I would be writing all day. My husband said he feels like he is in prison, how bad does that sound!!!!",354
cc,Care received,Care received,"Everything!!! I wasn’t listened to at all, passed from person to person and not taken seriously.",15
aa,Access,General,Carry on a bit longer.,4
ce,Care received,Emotional care,"Understanding that when you do a certain behaviour is because you aren't thinking straight, and doesn't mean you are that person usually, and that sometimes you need to say something you can't feel you can say over the phone or face to face.",42
ee,Environment/ facilities,Environment/ facilities,Less noisy at night.,3
xn,Couldn't be improved,Nothing to improve,"Nothing, have been satisfied with everything.",5
sa,Staff,Attitude Of Staff,"Be professional, kind and supportive. The doctor who dealt with us was none of these things.",15
mm,Communication,Communication,Liase with nursery.,2
xn,Couldn't be improved,Nothing to improve,Nothing could not fault.,3
xn,Couldn't be improved,Nothing to improve,Cannot think of anything to improve he service as it is so good.,12
xn,Couldn't be improved,Nothing to improve,Everything well.,1
xn,Couldn't be improved,Nothing to improve,very happy,1
xn,Couldn't be improved,Nothing to improve,No,0
xn,Couldn't be improved,Nothing to improve,You are doing enough,3
xn,Couldn't be improved,Nothing to improve,"Nothing, you have ticked all the boxes for me.",8
xn,Couldn't be improved,Nothing to improve,I cant think of anything really.,5
xn,Couldn't be improved,Nothing to improve,everything is ok for me I dont have anything to moan about,11
xn,Couldn't be improved,Nothing to improve,"No concerns
",1
xn,Couldn't be improved,Nothing to improve,No,0
xn,Couldn't be improved,Nothing to improve,Nothing very supportive.,2
mi,Communication,Amount/clarity of information,Clarification and information on COPD ( I've used the internet to source the information),13
ap,Access,Provision of services,"As regards the service in general I feel I should have had an MRI scan or lumber puncture to confirm diagnosis, which I feel is still not definite. I feel I am on death row.",34
ti,Transition/coordination,Coordination/Integration Of Care,I wasn't talked to at all. The interaction was something of a misunderstanding as I approached my GP about a different issue that wasn't addressed so I feel like is I got contacted maybe I would have been able to get some better support instead of being told that I cannot get anything other than a change in medication 3 months later.,61
sl,Staff,Staffing levels,Employ more CPNs at the same standard as Patricia,8
ct,Care received,Therapies,I feel that I am not talking enough in therapeutic sessions and am in danger of losing momentum by being too defensive. The nuances of my schizophrenia/depression are undiscussed. Perhaps more regular sessions are necessary,34
tc,Transition/coordination,Consistency/Continuity of care,"Always seeing different people, continuity would be good.
One nurse turned up having not read my notes so she wasn't as helpful as could have been.
One doctor had no understanding of some of my problems & couldn't get his head round them. ",41
xn,Couldn't be improved,Nothing to improve,There was nothing that could be done better. It was perfect.,10
xn,Couldn't be improved,Nothing to improve,Nothing,0
xn,Couldn't be improved,Nothing to improve,Nothing until Covid19 improves,3
xn,Couldn't be improved,Nothing to improve,Nothing at all,2
sa,Staff,Attitude Of Staff,"Some of the nursing staff/Healthcare assts could be more friendly/approachable. Some, not all, don't acknowledge you in a generic way - eg with a smile or 'hello.
Life in hospital can be very boring. Staff shortages mean structured day activities can be cancelled at short notice & there is too much time wasted hanging around waiting to see if they run or not.
Treatments could commence at a faster rate.
Patients could do with more opportunities to be active to stop them becoming chronically overweight. ",82
cr,Care received,Rules/approach to care,Maybe look at reducing patient's stay in hosptial,7
xn,Couldn't be improved,Nothing to improve,Nothing - excelllant service,3
ct,Care received,Therapies,Nothing - due to present situation <covid>. Hopefully group sessions when things get better,13
xn,Couldn't be improved,Nothing to improve,Happy with service,2
eq,Environment/ facilities,Facilities/equipment,Making sure enough of correct dressings in the home.,8
xn,Couldn't be improved,Nothing to improve,very happy with the service,4
mi,Communication,Amount/clarity of information,Not knowing the time of your visit.,6
tc,Transition/coordination,Consistency/Continuity of care,to send the same nurse on every visit if possible.,9
xn,Couldn't be improved,Nothing to improve,Happy with the service,3
xn,Couldn't be improved,Nothing to improve,Happy with service,2
eq,Environment/ facilities,Facilities/equipment,Nothing is it comparable to a **** star hotel but other patients TV volume is sometimes distractive - could ear phones be provided?,22
cr,Care received,Rules/approach to care,Bit less impersonal,2
cr,Care received,Rules/approach to care,Study mental health better by the person not the book,9
tc,Transition/coordination,Consistency/Continuity of care,...I have not liked the changes <which Dr I see>,9
al,Access,Location,"Put a map showing location of service. Cotgrave Hub is hard to find as postcode does not match google maps.
Waiting time was too long (about 2 months) especially when very worrying issues (i.e. heart).",33
xn,Couldn't be improved,Nothing to improve,"Nothing, everything was spot on.",4
xn,Couldn't be improved,Nothing to improve,Nothing. They do an amazing job.,5
cc,Care received,Care received,"All my contact with the Hope Centre has left me feeling desperate and frustrated. I was referred 18 months ago and, apart from my initial assessment, have yet to have any treatment. Communication is often contradictory, phone calls are not returned, staff do not introduce themselves and I am made to feel like a problem, when I try to clarify what is happening. Promises of treatment are made regularly but never fulfilled. During this telephone call I was told that the doctor was going to chase up my treatment, but that she thought it best to discharge me 'in the hope' that the Stabilisation clinic would pick me up. She warned me that I may get lost in the system though. As my symptoms and mental health has worsened in the last three months to the point where I was considering self harm I asked if I should increase my medication (Fluoxetine) but the doctor suggested this was only a 'last resort' and that I should use Diazepam instead. She said if I couldn't get enough from my GP I could come to the Hope Centre for more. The phone call ended with the doctor assuring me that I wouldn't need to do anything, she would put into action the points raised. However, when I received the follow up letter a few days later it says that I am to call the Hope Centre in one month if I haven't had any further contact. Not only is that contradictory, but it puts pressure on me - the one suffering with PTSD, issues with trust, disorientation and disassociation - to make sure I don't fall out of the system.",277
aa,Access,General,I have called the health visitor advice line on two occasions on separate weeks and the phone has ring for a long time before being picked up and out back down. I know I am calling the right number as I've called it before and got help. On both occasions this has made me upset and feel at a loss about what to do. I thought I'd give this feedback as it had been 2 occasions in completely different weeks so it's not just a one off.,86
mm,Communication,Communication,The video calling because it don't seem to work that well. Struggle to connect or make a video. May think of change it to zoom works loads better.,27
xn,Couldn't be improved,Nothing to improve,Nothing.,0
xe,Miscellaneous,Everything was good/bad,Everything.,0
xn,Couldn't be improved,Nothing to improve,Nothing. I couldn't have done better myself!,6
mm,Communication,Communication,"Getting in touch after the assessment. Instead I had a snotty letter telling me that they had tried to contact me and now I was being passed back to my GP if I didn't contact them within 7 days. I'd not received any phone call, text or email.  I then had a text telling me to fill out this form but with no link. I found it on the website.",70
ml,Communication,Listening,Actually listen to the patient. Record information accurately. Get the patient's name right on letters. Learn how to spell medical conditions correctly in letters. Not mock the patient who is clearly struggling with severe mental health issues. Learn the difference between suffering from chronic fatigue and having chronic fatigue syndrome as they are NOT the same.,55
mi,Communication,Amount/clarity of information,I wasn't given a contact number. I did email the referral centre and they helped.,14
ap,Access,Provision of services,"I understand that you need to rule out anything serious, but I feel that out of hours would have been appropriate as they could potentially spot if something is serious and refer to A&E if applicable. Rather than waiting in A&E only to be referred to out of hours.    But I am very grateful for the service, I just hate to out extra stress on the A&E department.",70
ml,Communication,Listening,The consultant on the ward would talk over me while I was having meetings with her. She never appeared to listen to what I was saying. The veg on the ward was very over cooked.,34
ee,Environment/ facilities,Environment/ facilities,The ward is noisy at night time.,6
xn,Couldn't be improved,Nothing to improve,Absolutely nothing.,1
ef,Environment/ facilities,Food,"Would like to see better meal options, especially for persons with chewing issues.",12
ap,Access,Provision of services,Longer session and face to face if possible.,7
ef,Environment/ facilities,Food,"Food was not good, lack of choice and poor quality. Meals did not cater to a wide variety of diets. As an autistic person, there are certain foods I don't eat due to sensory issues and the lack of choice made it difficult to get a healthy balanced diet with enough calories.",51
ti,Transition/coordination,Coordination/Integration Of Care,"The support given came to me some 5 months after my Stroke as my recovery I believe has been delayed due to this delay. However, no fault is directed at the Stroke Team, as my records were not passed on by the Hospital on my discharge.",45
xn,Couldn't be improved,Nothing to improve,Well done.,1
ap,Access,Provision of services,Due to pandemic felt a bit forgotten about as managed at home with little contact from team.,16
sl,Staff,Staffing levels,"Get more than one physio and occupational therapist in the team (I have missed out on both).  
Don't send trainee staff to people in crisis (first person to see me bad). ",32
dp,Dignity,Involvement: Of Service Users/Patients,Do what I was told would be my care/management plan. Misunderstandings perhaps?,11
dd,Dignity,Dignity: General,Keep a better check on personal possessions,6
xn,Couldn't be improved,Nothing to improve,"Nothing to improve on, excellent",4
xn,Couldn't be improved,Nothing to improve,Just keep doing what you do,5
wb,Access,Time spent waiting between appointments,"To be fair, going from my Doctor is the easy part. Being passed to Millbrook is a nightmare - stressful & not very helpful at all. The time between the doctors & therapy is far too long for people stuggling with mental health, being told to wait longer is not good",50
wa,Access,Time spent waiting for first appt/referral/service,Shorter waiting time,2
xn,Couldn't be improved,Nothing to improve,No issues,1
ds,Dignity,Feeling safe including bullying,Not leaving us in dark,4
xf,Miscellaneous,Funding,More Govt. funding to help you do your job better,9
mi,Communication,Amount/clarity of information,I would have liked written feedback like you get from a consultation (when they update GP). I appreciate not everything had been finalised about his condition before Dad passed away but it would have been nice.,35
xn,Couldn't be improved,Nothing to improve,No.,0
xn,Couldn't be improved,Nothing to improve,Honestly nothing.,1
ti,Transition/coordination,Coordination/Integration Of Care,When one nurse book an appointment then another nurse cancels it they say I am doing it to get a lower sentence so they have to work as a team. ,30
sl,Staff,Staffing levels,Make resources too alleviate pressure and prevent good staff from leaving or losing love for their job. ,17
wb,Access,Time spent waiting between appointments,Maybe give appointment a little quicker. ,6
wb,Access,Time spent waiting between appointments,"The only thing I can think of is the appointments could be a bit quicker, but I understand in the current situation. ",22
xn,Couldn't be improved,Nothing to improve,You done your best for me so it couldn't of been any better for me thanks. ,16
ef,Environment/ facilities,Food,Got me the mattress as I never received one and had to take continuous painkillers and felt very let down by the prison NHS service.  Also get medication sorted faster and correctly. ,33
xn,Couldn't be improved,Nothing to improve,I feel my sessions are going well and not much can be done to make it better as they going wee a the minute. ,24
ap,Access,Provision of services,Keep going. ,2
sp,Staff,Professionalism/Competence Of Staff,Get prison staff to understand us/illnesses much better.,7
