,code,label,subcategory,feedback,space,sentiment_score,sentiment tag,Human eva
6836,cc,Care received,Care received,It was all excellent,3,0.5719,pos,pos
11616,ca,Care received,Activities,Sports day was a day enjoyed by all. Everyone from Patients to Managers and Volunteers all joned in. It was nice to take part and I can not wait for the next time well done to those who organised the event. it was fantastic. this helps me with my recovery,49,0.93,pos,pos
3320,mi,Communication,Amount/clarity of information,"Good explanatIon to my questIons, Good sessIon, frIendly.  Been gIven so many leaflets to take home.  XXXX was perfect.",20,0.9136,pos,pos
2893,cc,Care received,Care received,Care was excellent wIth a Great deal of success,8,0.9403,pos,pos
5684,cs,Care received,Advice and support,Very useful practical tips to take away and apply.,8,0.4927,pos,pos
4487,cc,Care received,Care received,"No problem with service, brilliant.  Prefers female nurse especially for catheter care.",12,0.5209,pos,pos
8966,xn,Couldn't be improved,Nothing to improve,"No, all good.",2,0.1779,pos,pos
387,xe,Miscellaneous,Everything was good/bad,"Everything, I can't explain. ",4,0,neu,neu
3259,sa,Staff,Attitude Of Staff,FrIendly person on the phone gave a thorough assessment.,8,0.4939,pos,pos
3035,xe,Miscellaneous,Everything was good/bad,"EverythIng was alrIght, thank you.",4,0.5423,pos,pos
3213,cc,Care received,Care received,FIrst Class,1,0,neu,pos
6164,ss,Staff,Staff: General,Because the staff and the care received was second to none,10,0.4939,pos,pos
2584,ss,Staff,Staff: General,Help from Yvonne. ,3,0.4019,pos,pos
5820,sp,Staff,Professionalism/Competence Of Staff,"XXXX has been very helpful, given me confidence due to his knowledge, I was given choice of day/time for my appointment.",20,0.7501,pos,pos
1600,ct,Care received,Therapies,"Animals at my hatch whilst in seg. 
OT sessions.
Named nurse session get your point across. ",15,0,neu,neu
228,xe,Miscellaneous,Everything was good/bad,Everything.,0,0,neu,neu
8340,ce,Care received,Emotional care,Feeling lonely because husband couldn’t visit.,5,-0.25,neg,neg
2409,cl,Care received,Made A Difference To My Life,"It was really excellent and has helped me get back to how I wanted to feel. I felt well understood and was guided through ways to use in the future should I need to. I am truly grateful for the caring, professional service I received and how quickly it was offered. Thankyou especially to Ella for her compassion, cheerfulness and positivity-all so much appreciated.",63,0.9746,pos,pos
3142,sa,Staff,Attitude Of Staff,"Excellent, FrIendly and professIonal approach throughout, cannot thank the team enough.",10,0.6994,pos,pos
2760,cc,Care received,Care received,"Always been well looked after and had lots of laughs, Good food, NothIng to be Improved.",15,0.6854,pos,pos
12021,cs,Care received,Advice and support,"The biggest difference 1:1 Family Support has made was the knowledge gained and learning how to introduce weaning and baby led weaning.  
It gave me reassurance that I would do it right. It was helpful that you can have a 1:1 conversation, because some people don't feel comfortable in a group discussion and this is a good service.",58,0.8689,pos,pos
12012,sp,Staff,Professionalism/Competence Of Staff,"Parent has written that the biggest difference Baby Massage has made is it ""Keeps her relaxed and helped with nap time.  
Tracey was extremely good at delivering the sessions, and very informative.""",32,0.7501,pos,pos
10024,tx,Transition/coordination,Transition And Discharge,"Quicker discharge, 4 hours is too long.",6,0,neu,neg
9741,xn,Couldn't be improved,Nothing to improve,Nothing excellant,1,0,neu,neu
8471,xn,Couldn't be improved,Nothing to improve,"I can’t think of anything, I’ve stayed in another ward here and it was a completely diff story.  If those staff were like the staff I’ve met so far in Fraser ward, I’d of been happier after my major op.",40,0.7096,pos,neu
8106,cc,Care received,Care received,Can be a bit of a wait for doctors to come so I can get my medications.,16,0,neu,neu
4659,cc,Care received,Care received,"Prompt and thorough phone discussion, with very helpful physiotherapist.",8,0.4754,pos,pos
11070,cs,Care received,Advice and support,Been really supportive and really helped me understand how to change things at home to help sort out my child's sleep,20,0.6361,pos,pos
10866,cs,Care received,Advice and support,Great time with lovely girls. I feel much more confident with parenting. This course helped me a lot to understand my baby development. I would recommend this course to every mum who wants to build fantastic relationship with baby.,38,0.9552,pos,pos
3754,mi,Communication,Amount/clarity of information,"I will recomend this services to friends and family because it is extremley beneficial.  It guides on how to ensure that kids eat healthy.  It is an eye opener to unhealthy eating habits .  I have come to understand that much exersise , sleep , screen time etc that is required.",53,0.7845,pos,pos
3590,mi,Communication,Amount/clarity of information,I found the information given very informative and very helpful.,9,0.4754,pos,pos
9156,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
7625,ss,Staff,Staff: General,The staff here were amazing,4,0.5859,pos,pos
21,cc,Care received,Care received,Have more respiratory patients.,3,0,neu,neu
1381,cr,Care received,Rules/approach to care,Having more time to actually discuss issues rather than just pushing medications.,11,0,neu,neu
8574,eq,Environment/ facilities,Facilities/equipment,It has been cold out so would be helpful if had those hand warmers to make putting my cannula in easier.,20,0.8768,pos,neu
12073,ti,Transition/coordination,Coordination/Integration Of Care,"After 2 suicide attempts and self harming, the crisis team came to ky house daily to start with and delivered my medication weekly so I hadnt enough medication to attempt another overdose with. The staff who came were different people each time but not once did I have to repeat my story to them. They were clearly very well informed and aware of my situation. At one point I said I still felt quite anxious so they went back to the doctor and sought advice. My medication was immediately increased to a higher dose and delivered the next morning. They clearly have my welfare at heart. I am now on weekly visits but I know I can ring them for support at any time, which I have still done when I've had wobbles. I've heard a lot of bad press about the crisis team but I honestly cant speak more highly of them. They are with me every step of the way until I'm ready to continue my journey in my GPs care. Dont be afraid to call them. They're fantastic.",180,0.9169,pos,pos
8016,cs,Care received,Advice and support,"ALL staff have been extremely supportive, kind and above all caring for both me and my child. We have been included and made to feel part of one unit. It’s wonderful to be part of a hospital family when going through such a tough time. Thank you Team E39!",48,0.9367,pos,pos
7548,ef,Environment/ facilities,Food,The food needs to improve.,4,0.4404,pos,neu
10954,cl,Care received,Made A Difference To My Life,"My time at Arnold Lodge so far has been a very positive one. I am doing very well, and this is thanks to all the staff that have supported me and helped me get this far.",35,0.8882,pos,pos
834,co,Care received,1-2-1 care/Time spent with service user,At times I felt I could have done with more time to talk but realise that the service is under huge pressure and time is very precious.,26,0.7677,pos,neu
6586,sa,Staff,Attitude Of Staff,Friendly staff and everyone is happy,5,0.7845,pos,pos
1643,ml,Communication,Listening,Natasha Such a good listener. Always able to direct therapy where it's needed.,12,0.4404,pos,pos
3389,cs,Care received,Advice and support,GuIdance was brIllIant and helpful.,4,0.765,pos,pos
11207,sa,Staff,Attitude Of Staff,"After really positive experiences attending the BABES groups over the years as a new mum, I was encouraged to attend breastfeeding peer support so I could help other mums with the same situations and help empower other women to make informed choices in their parenting and breastfeeding journeys.  
I have found the experience enjoyable and the skills I have gained really valuable. Currently I am a stay at home mum to four young children but I hope that the experience I have gained will help me gain employment when the time comes to return to work in the future.  
In particular Sandra and Clare have been so wonderful and encouraging during my time in Surestart - they are wonderful!",120,0.994,pos,pos
5783,cc,Care received,Care received,"Would be nice to have someone see me occasionally, nobody explains anything.",11,0.4215,pos,neu
4524,mm,Communication,Communication,"On time, explained things well.  Worked well with my child.",10,0.4939,pos,pos
11842,sp,Staff,Professionalism/Competence Of Staff,"Louise and Mary have both been brilliant with my little girl, she's enjoyed the Little Talkers program. It's made a big difference to her. She has learnt to share with others and be paitcent whilw waiting. She's also more confident with doing and saying things out loud. Thank you.",48,0.9329,pos,pos
9595,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
186,xn,Couldn't be improved,Nothing to improve,Everything well.,1,0.2732,pos,pos
4653,sp,Staff,Professionalism/Competence Of Staff,Professional and extremely helpful.,3,0.4754,pos,pos
528,xn,Couldn't be improved,Nothing to improve,Everything is good for me. ,5,0.4404,pos,pos
6351,sa,Staff,Attitude Of Staff,Everyone very nice,2,0.4754,pos,pos
2981,sa,Staff,Attitude Of Staff,"EffIcIent, professIonal & sympathetIc.",3,0.7269,pos,pos
8284,xe,Miscellaneous,Everything was good/bad,Everything was good,2,0.4404,pos,pos
2392,ss,Staff,Staff: General,"In my opinion, I think Dan is a very good therapist and count myself very lucky to have been helped by him.
I am in a much better place than when my therapy commenced and feel that I should be able to fly solo now. Knowing I can contact the service again if I feel the need is of considerable comfort to me.
With sincere thanks.
Neil Boston",64,0.9459,pos,pos
10402,cc,Care received,Care received,"My daughter attended Park House Dental Practice on three occasions. The service was excellent on all occasions. Monica had a lovely manner in terms of friendliness, putting my daughter at ease, keeping her informed of what was going to happen and why and communicating in a manner suitable to her age.  
This was a much better experience compared to her normal dentist who were unable to fully extract her tooth and were lacking in their ability to communicate with my daughter in a manner which put her at ease and trusting enough to have the treatment.",96,0.9698,pos,pos
4851,ss,Staff,Staff: General,"Staff helped me, really enjoyed my stay.  Nothing much I did not like, staff fantastic.",15,-0.1131,neg,pos
2964,sa,Staff,Attitude Of Staff,Dr XXXX Is very knowledgable and personable and managed to relate to my son straIght away.  My son dosen't mInd seeIng hIm and lIstenIng to hIm.,26,0.2263,pos,pos
904,sa,Staff,Attitude Of Staff,"Psychiatrists doesn't care about helping me get through this time in my life.
The psychiatrist didn't care about how I feel, didn't understand me and communication is poor. ",27,-0.8498,neg,neg
11307,cs,Care received,Advice and support,I really appreciate all the help Michelle has given us as a family. We feel more confident in maintaining our childrens health and wellbeing. thanks for everything.,26,0.9019,pos,pos
5232,cc,Care received,Care received,"The whole package was very good, the people involved were very caring and pleasant.",13,0.882,pos,pos
9360,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
11746,ct,Care received,Therapies,"IDD OT Healthy Lives group  
It was ok but not my thing",12,0.3506,pos,neu
11894,sa,Staff,Attitude Of Staff,"Thank you for your unfailing kindness to my husband, both from the staff involved in the cognitive behaviour sessions and the staff who transported him to and from the sessions. They were most helpful.  
My husband benefited and enjoyed the stimulation of the sessions and more importantly being out of his home. It has improved his confidence and his cognitive ability.  
Once again many thanks",66,0.9753,pos,pos
10762,ct,Care received,Therapies,Since my son had speech therapy with home Talk he as enjoyed it and come along so much with his speech I am so proud of the help with this service.,30,0.8747,pos,pos
373,cc,Care received,Care received,Making sure everyone get on. ,5,0.3182,pos,neu
6862,sa,Staff,Attitude Of Staff,Kind staff and quick to see to me.,7,0.5267,pos,pos
11542,cc,Care received,Care received,"I came to the Sleep Tight Course at Manton Children's Centre run by Abbie. At the beginning I felt as though I would never be able to put into practice what I have learnt, now I feel confident to use these new skills and use them well and feel much better in myself and not so alone and is it doesn't work first time it is ok to try again. Abbie was great in delivering us the course and making us feel at ease.",83,0.9531,pos,pos
7660,ss,Staff,Staff: General,The staff were very nice and polite,6,0.4754,pos,pos
11861,ct,Care received,Therapies,"I have recently finished the MBTi group. I feel a bit more understanding of anxiety and depression. I found it helped listening to others as I don’t feel alone in my thoughts as I know others have similar feelings (I don’t feel the odd one out).  
I struggled with the chairs being changed (made into a circle for one or 2 sessions) as I struggle with change and wasn’t expecting this to happen. I also found it hard when people were late/didn’t turn up as I ended up repeating myself.  
I liked the facilitators but was left a little confused when there were opposite answers given.",107,-0.7988,neg,pos
6840,cc,Care received,Care received,It was perfect for me,4,0.5719,pos,pos
1518,cr,Care received,Rules/approach to care,My plan was person centred and I felt listened too.,9,0,neu,pos
4169,tt,Transition/coordination,Transition/ coordination: General,A second same form- the only bIt of In-effIcIency!,8,0,neu,neu
820,xn,Couldn't be improved,Nothing to improve,The service provided is very good already. ,7,0.4927,pos,pos
5290,aa,Access,General,"This service is beyond a joke, for it to take over 6 months for my son to see a qualified Dr is disgusting. The child mental health service is a shambles. The only way for a child to be seen quickly is if they try to take their life.  Its horrifying.",51,-0.7096,neg,neg
9671,xn,Couldn't be improved,Nothing to improve,Nothing at the .,3,0,neu,neu
7704,ss,Staff,Staff: General,Thorough care. Very pleasant and professional manner.,6,0.7778,pos,pos
9219,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
3885,mi,Communication,Amount/clarity of information,"Knowledgable teaching on eating habbits, learning about food labelling, modiration and comfort eating. eat weight guide.",15,0.3612,pos,neu
7841,sp,Staff,Professionalism/Competence Of Staff,Very professional staff,2,0,neu,pos
7991,cc,Care received,Care received,All good,1,0.4404,pos,pos
11015,ss,Staff,Staff: General,"This is the second time I have phoned for help with my daughter. Without this service I would have no doubt spiralled into dark times. I suffer with anxiety and depression. Knowing I can call on this service when as a mum I felt I was letting my little one down and not doing a good job at being a mum meant the world.  
Anne came to visit and I attended the centre. I got reassurance and confidence back and was nice to have someone to talk to that had not heard it all before (like family).  
Thank you Sure Start, and thank you Anne",106,0.3806,pos,pos
7967,xn,Couldn't be improved,Nothing to improve,Absolutely nothing,1,0,neu,neu
7655,sa,Staff,Attitude Of Staff,The staff were very friendly and helpful.,6,0.762,pos,pos
5244,xn,Couldn't be improved,Nothing to improve,There is nothing else that could have been done.,8,0,neu,neu
1264,cc,Care received,Care received,I was very well looked after,5,0.3384,pos,pos
11699,sa,Staff,Attitude Of Staff,"I am on Canterbury ward. Group working and having discussions together would help me feel safer. We do have night time confinement so that can help you feel safe. The ward team keeps an eye on my medication which is good but some kind of group therapy would be of benefit I think.
Try to keep up the staffing levels this helps us feel safe. More staff on this ward would be a good thing. The O. T. team helps me by taking me on singletons. To improve give me ground access to make me feel trusted to a greater degree than I already am.
The Staff attitude is good here and I do feel cared for by the ward Team. The ward is quiet. Could you make sure the art therapist attends the ward please.",133,0.9945,pos,pos
25,xn,Couldn't be improved,Nothing to improve,Nothing you have all been brilliant.,5,0.5859,pos,pos
8814,xn,Couldn't be improved,Nothing to improve,No,0,-0.296,neg,neu
31,cr,Care received,Rules/approach to care,Let people get rest properly. Checking every hour and opening doors then relocking them means I haven’t have one good night rest since I arrived. The food is not good in my opinion.,32,0.7003,pos,neg
752,mm,Communication,Communication,"For a start, you need to update the contact number on your webpage for the Community Podiatry service, as this is incorrect (you do get a recorded message of the correct number). When you ring the correct number, you are on hold for a couple of seconds then are told that, due to the high volume of callers, to ring back later and the call ends. You can't even wait in a queue to speak to someone.",76,0.1531,pos,neg
8,da,Dignity,Respect For Diversity/ Person-Centeredness,"2 Staff Members I had an issue with in regards to lack of patience with my capabilities, seeming to be interested in moving onto the next job.",26,0.1027,pos,neg
3971,cc,Care received,Care received,"No, care gIven has been very good",6,0.6361,pos,pos
7746,ec,Environment/ facilities,Cleanliness,"Very clean, attentive staff, caring nurses and other staff, explain things will happen to put my mind at ease",18,0.8268,pos,pos
554,xn,Couldn't be improved,Nothing to improve,All ok.,1,0.296,pos,pos
5818,sa,Staff,Attitude Of Staff,"XXXX has been so helpful, explains everything clearly, gave me some really good advise on childs milk antale, which I will take home with me.  Lovley lady really calm and nice. lady",32,0.9345,pos,pos
6796,wa,Access,Time spent waiting for first appt/referral/service,I was seen quickly,3,0,neu,pos
6616,cc,Care received,Care received,Good care,1,0.7269,pos,pos
4057,xn,Couldn't be improved,Nothing to improve,No NothIng,1,-0.296,neg,neu
7938,cc,Care received,Care received,I was very happy with,4,0.6115,pos,pos
1512,cc,Care received,Care received,"I have been treated well and looked after when I've needed care.  
Overall it's been positive. ",17,0.836,pos,pos
11389,wa,Access,Time spent waiting for first appt/referral/service,"Was told a email would be sent to Millbrook mental health team for a appointment and crisis team would be in contact.  
Still waiting!  
Your team did nothing for me whats so ever and was a waste of their time. 10 month I've lived under Notts County Council with no mental health support",54,-0.7712,neg,neg
6623,cc,Care received,Care received,Good care for myself,3,0.7269,pos,pos
4973,cc,Care received,Care received,"The care I received was very good from everyone, thank you all.  Very satisfied with therapy.",16,0.8998,pos,pos
10510,ct,Care received,Therapies,"I found myself admitted to Rowan 1. After around a week I met Felix who works at Occupational Therapy department , we spoke about music and he told me there was music equipment available. From that moment we became involved in playing instruments, sometimes together when he had time. At times I was also allowed to use music instruments independently.  
It made me feel that there was an outlet for my frustration at being locked in ward, but equally important I had access to equipment which enabled me to express my illness. It was a therapeutic experience of healing my mental illness.  
What I feel could be improved is access to therapeutic envrionments such as OT but on the wards as well such as guitars and keyboards. I would also massively increase manned hours to facilitate access to the OT department (i.e. 24/7)",144,0.5267,pos,pos
11036,ss,Staff,Staff: General,"When I was first introduced to the hospital soon after the arrival of my son, I received an instant significant amount of help, I was invited to a meeting with his doctor and social worker, who were extremely sensitive and helpful in answering any questions I had about my son's stay on the ward.  
I was assured that my son would receive all the help he required both medical and financially. The social care team were always at a reach and willing to help with anything in a short time. Everything was well organised and a lot of time was put in from the social care team to arrange things in the best interest of my son!  
The Conversations we had were always pleasing and absolutely confidential, all my wishes were always taken into consideration and the team did all they could to allow my son to meet with his sisters. But what is important is that I can see that my son is finding it very beneficial to his health to be at the hospital as since joining his mental health has improved a lot already!  
I have no doubt that in the future I can always rely on the help of the entire team who I would like to thank and especially Shequila who showed me a major commitment and a real sense of understanding throughout this journey!  
Many thanks,",235,0.9911,pos,pos
4654,sp,Staff,Professionalism/Competence Of Staff,Professional and individualised service to achieve specified outcome.  Regular appts booked in advance aided rehabilitation.,15,0,neu,pos
7458,sa,Staff,Attitude Of Staff,"Staff were helpful, kind and caring.",5,0.8555,pos,pos
3772,cc,Care received,Care received,"I'm so pleased wIth all the care my husband has been gIven, and everyone who works on the ward work together as a good team.",24,0.8516,pos,pos
1457,cl,Care received,Made A Difference To My Life,"Despite having to abandon group therapy for Mindfulness due to COVID, Sonia went straight to online video meetings, and it's been great. She is able to provide ongoing, very valuable practices for us. Her warmth and enthusiasm for Mindfulness, and for our group, are unchanged, and such a blessing for people like me....and a lifeline for these lockdown days.",58,0.9698,pos,pos
7077,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
8556,ef,Environment/ facilities,Food,Improved food,1,0.4767,pos,pos
11112,cc,Care received,Care received,"Fantastic service and very useful and patient. The follow up appointments are essential. Really helped our family situation. My son now sleeps through apart from one feed, settles himself and we have stress-free nights!",33,0.7955,pos,pos
5122,cs,Care received,Advice and support,The service has been really helpful. My baby has had a number of issues and I have had great support individually extra HV visits.,23,0.8805,pos,pos
8286,xe,Miscellaneous,Everything was good/bad,Everything was great,2,0.6249,pos,pos
11644,cs,Care received,Advice and support,Forest Schools has given me ideas for setting up mud kitchens at home. &nbsp; It's fantastic to have services like this available.,21,0.7269,pos,pos
3200,ap,Access,Provision of services,"FantastIc that thIs course was avaIlable to us and completley free, amazIng communIcatIong wIth sIgns and symbols.",16,0.8934,pos,pos
8899,xn,Couldn't be improved,Nothing to improve,No,0,-0.296,neg,neu
9116,xn,Couldn't be improved,Nothing to improve,Nothing,0,0,neu,neu
7800,ss,Staff,Staff: General,"Very good, from nursing to food",5,0.4927,pos,pos
6461,cc,Care received,Care received,Excellent care,1,0.7845,pos,pos
6286,cc,Care received,Care received,Every time I come to unit it is excellent,8,0.5719,pos,pos
7667,ss,Staff,Staff: General,The support from all the staff-surgeons to cleaners- was exceptionally good. Friendly professional and effective.,14,0.9095,pos,pos
